nummer,text_id,auteurva,titel,jaarnr,genre,oorspr_auteur_va,drukkerva,plaats_van_uitgave
Ceneton018620,172,P.D. Caron,Bly-eyndige-kyvagie van Mr. Houtebeen met Els syn wyf.,1657,Kluchtspel,,Jan Sonnevelt,’s-Gravenhage
Ceneton018740,173,Catharinisten (Aalst),Sauls vall tot Davids klimm’.,1663,,,Philips Vleugaert,Brussel
Ceneton018760,175,Jacob Cats,Koningklyke herderin Aspasia.,1655,Blij-eindend spel,,Jan Jacobsz Schipper,Amsterdam
Ceneton018770,174,Jacob Cats,"Koningklyke herderinne, Aspasia.",1655,Blij-eindend spel,,Jan Jacobsz Schipper,Amsterdam
Ceneton019190,178,Joost Claerbout (Klaerbout),"Droef-bly-eyndig vertoog op ’t beleg en over-gaen van Middelburgh, onder het beleyt van Wilhelmus den eersten, prince van Oranje etc. Gewonnen den 20 Febr. 1574.",1661,Blij-eindend treurspel,,Henrick Smidt,Middelburg
Ceneton019220,176,Joost Claerbout (Klaerbout),De klucht van ’t kalf.,1662,Kluchtspel,,Pieter Timmers,Amsterdam
Ceneton019230,177,Joost Claerbout (Klaerbout),De klucht van ’t kalf.,1662,Kluchtspel,,Henrick Smidt,Middelburg
Ceneton019390,180,Jacob Clijburgh (Kleyburg of Clyburg),"Crispyn, Mogol, of de gewaande Turk.",1718,Kluchtspel,,Hendrik Bosch en Gillis Knotter,Amsterdam en Leiden
Ceneton019440,323,Jacob Clijburgh (Kleyburg of Clyburg),"Krispyn bedrieger, en bedrooge actionist.",1720,,,Z.n.,Zonder plaats
Ceneton019520,323,Jacob Clijburgh (Kleyburg of Clyburg),Voorspel op Nederland in gekheit.,1720,,,Z.n.,Zonder plaats
Ceneton019521,323,Jacob Clijburgh (Kleyburg of Clyburg),Nederland in gekheit.,1720,,,Z.n.,Zonder plaats
Ceneton019570,179,Jacob Clijburgh (Kleyburg of Clyburg),Salomona Joodse martelaares.,1720,Martelaarstragedie,,Mozes van Hulkenroy / Hendrik Bosch,Haarlem / Amsterdam
Ceneton019620,323,Jacob Clijburgh (Kleyburg of Clyburg),"Wind-negotie, of invendutie-papier onder oud goed te koop.",1720,,,Z.n.,Zonder plaats
Ceneton019660,181,Jacob Clijburgh (Kleyburg of Clyburg),"Wind-negotie, of invendutie-papier onder oud goed te koop.",1720,Kluchtspel,,Hendrik Bosch,Amsterdam
Ceneton019680,182,Pieter Adriaanse Codde,Alfreda.,1641,Droef-eindend toneelspel,"Félix Lope de Vega y Carpio, of Jean Rotrou","Nicolaes van Ravesteyn, voor Jacob Heerman",Amsterdam
Ceneton019700,183,Pieter Adriaanse Codde,De bedrooge schaakers.,1672,Kluchtspel,Jean de La Taille,Jacob Lescailje,Amsterdam
Ceneton019790,184,Willem Coertse,Krispyns mislukte onderneming en belachlyke schaaking van een levendige dooden.,1777,Kluchtspel,,"Willem Coertse Jr., en Dirk Schuurman",Amsterdam
Ceneton019840,185,Willem Coertse,Het slaaven eiland.,1779,Blijspel,Pierre Carlet de Chamblain de Marivaux,Willem Coertse Jr.,Amsterdam
Ceneton019970,187,Jan Sievertsen Colm / Kolm,Malle Jan Tots boerdige vryeri.,1633,Kluchtspel,,Dirck Cornelisz Houthaeck,Amsterdam
Ceneton020020,188,Jan Sievertsen Colm / Kolm,"Nederlants treurspel. Inhoudende den oorspronck der Nederlandsche beroerten, ’tscheyden der ed’len, ’tsterven der Graven van Egmont, Hoorn, ende der Batenborgers.",1616,Treurspel,,"Paulus Aertsz van Ravesteyn, voor Abr. Huybrechtsz,",Amsterdam
Ceneton020190,207,Frederik Cornelis de Coninck,"Op den reghel Bedwonghen liefde baert veel onrust’, leet en’ pijn: Maer vry verkoren trouw is heyl en’ medecijn.",1635,Blijspel,,Jan Huyssens,Antwerpen
Ceneton020200,208,Frederik Cornelis de Coninck,Herdersche ongestadicheyt.,1638,,,Jan Huyssens,Antwerpen
Ceneton020210,209,Frederik Cornelis de Coninck,"Op den reghel, de liefde en ’tgeval speelt somwijl met den mensch: // Maer waere trouw en deucht brenght hem noch tot sijn wensch.",1636,Blij-eindend treurspel,,Jan Huyssens,Antwerpen
Ceneton020220,210,Frederik Cornelis de Coninck,Liefdens behendicheyt.,1638,,,Jan Huyssens,Antwerpen
Ceneton020260,785,Thomas de Coningh,De vakantie.,1707,Kluchtspel,Florent Carton Dancourt,Erven Jacob Lescailje,Amsterdam
Ceneton020680,189,Samuel Coster,"Duytsche Academi, tot Amsterdam gespeelt.",1619,Toneelspel,,Cornelis Lodewijcksz van der Plasse,Amsterdam
Ceneton020761,366,Pieter Cornelisz. Hooft / Samuel Coster,Isabella.,1619,Treurspel,,Nicolaes (III) Biestkens voor Cornelis Lodewijcksz van der Plasse,Amsterdam
Ceneton020850,190,Samuel Coster,Kallefs-val.,1628,,,Z.n.,Amsterdam
Ceneton020870,192,Samuel Coster,"Korte verklaring vande ses eerste vertoningen, gedaen binnen Amsterdam, op de Eeuwige Vrede, den 5 Junij 1648.",1648,Vertoning,,Jan Banningh,Amsterdam
Ceneton020950,191,Samuel Coster,"Een boertighe clucht, ofte een tafel-spel van twee personagien, te weten, een quacksalver met zijn knecht.",1615,Kluchtspel of tafelspel,,Cornelis Lodewijcksz van der Plasse,Amsterdam
Ceneton021380,218,Pieter de la Croix,De belachchelyke hoofsche juffers.,1685,Kluchtspel,Jean Baptiste Poquelin Molière,Erven Jacob Lescailje,Amsterdam
Ceneton021420,217,Pieter de la Croix,De gewaande advocaat.,1685,Kluchtspel,"Claude la Rose, sieur de Rosimond",Albert Magnus,Amsterdam
Ceneton021620,219,Pieter de la Croix,"Krispyn, muzikant.",1685,Blijspel,"Noël Le Breton, sieur d’Hauteroche",Albert Magnus,Amsterdam
Ceneton021720,220,Pieter de la Croix,"De schynheilige. Zynde het gevolg van de blyspeelen, genaamt: Het gedwongen huwelyk, en Lubbert Lubbertsz.",1686,Kluchtspel,Jean Baptiste Poquelin Molière,Albert Magnus,Amsterdam
Ceneton021780,762,Cornelis Crul,"Absurda dat is, vremdt bescheet. Twee doove personagien, wt Colloquia Erasmi Roterodammi.",1599,,,Z.n.,Zonder plaats
Ceneton021830,762,Cornelis Crul,Tafel-spel van een dronkaert die by hemseluen spreect meynende dat hy wonder siet.,1599,Tafelspel,,Z.n.,Zonder plaats
Ceneton021831,196,Cornelis Crul,Tafel-spel van een dronckaert die by hemselven spreect meynende dat hy wonder siet.,1600,Tafelspel,,Bruyn Harmansz Schinckel,Delft
Ceneton021940,194,Simon van der Cruyssen,De waarschynelyke tovery.,1691,Blijspel,Pierre Corneille,Erven Jacob Lescailje,Amsterdam
Ceneton021950,195,Simon van der Cruyssen,De waarschynelyke tovery.,1729,Blijspel,Pierre Corneille,David (II) Ruarus,Amsterdam
Ceneton022170,199,Jan van Daalen,Klucht van de aerdige Colicoquelle.,1654,Kluchtspel,,Dirck Cornelisz Houthaeck,Amsterdam
Ceneton022200,201,Jan van Daalen,Klucht van de jaloursze jonkker.,1654,Kluchtspel,,"Cornelis de Bruyn, voor Jacob Vinckel",Amsterdam
Ceneton022240,200,Jan van Daalen,Klucht van de kale edelman.,1657,Kluchtspel,,Jan Jansz van Santen,Amsterdam
Ceneton022310,787,Isaacus van Damme,M. Accii Plavti Amphitrvo. Overgheset in de Nederduytsche tale.,1635,Blijspel,Titus Maccius Plautus,Dirck Cornelisz Houthaeck,Amsterdam
Ceneton022390,226,Jeremias de Decker,Baptistes of Dooper.,1652,Treurspel,George Buchanan,Lodewyck Spillebout,Amsterdam
Ceneton022440,227,Demokritophilus,De inënting.,1768,Kamerspel,,Z.n.,Gedrukt voor de liefhebbers van rariteiten
Ceneton022490,362,Jan van Diest,"Een comedia ofte spel van Homulus, daer in betoont werdt, wat loon dat de sonde gheeft, namelijck de doot, ende hoe den mensch van alle creatueren verlaten werdt, alleene sijne deucht staet hem daer by.",1661,Blijspel,,Otto Barentsz Smient,Amsterdam
Ceneton023100,389,Christianus Ischyrius (Christiaen Stercken),Homulus Petri Diesthemii.,1536,,,Jasper Gennepaeus,Keulen
Ceneton023103,390,Christianus Ischyrius (Christiaen Stercken),Homulus Petri Diesthemii.,1538,,,Joannes Graphaeus voor Joannes Steelsius,Antwerpen
Ceneton023160,256,Peter Dorland van Diest,Den spyeghel der salicheyt van Elckerlijck Hoe dat Elckerlijc mensche wert ghedaecht Gode rekeninghe te doen.,1525,,,Willem Vorsterman,Antwerpen
Ceneton023440,235,Coenraet Droste,"Vrouw Jacoba van Beyeren, gravin van Hollandt &ct.",1710,Treurspel,,Gerrit Rammazeyn,’s-Gravenhage
Ceneton023670,238,Frederik Duim,De doodt van Achilles.,1745,Treurspel,,Izaak Duim,Amsterdam
Ceneton023700,244,Frederik Duim,Huig de Groot in ’t hof van Zweeden.,1742,Blijspel,,Izaak Duim,Amsterdam
Ceneton023720,240,Frederik Duim,Huig de Groot te Delft.,1743,Treurspel,,Izaak Duim,Amsterdam
Ceneton023740,243,Frederik Duim,Huig de Groot te Rostok.,1742,Treurspel,,Izaak Duim,Amsterdam
Ceneton023790,245,Frederik Duim,"Menalippe; of, de bevechter van zich zelve.",1743,Treurspel,,Izaak Duim,Amsterdam
Ceneton023800,242,Frederik Duim,"Het rechtsgeding van Johan van Oldenbarnevelt, Rombout Hogerbeets, en Huig de Groot.",1745,Treurspel,,Gedrukt voor de auteur,Amsterdam
Ceneton023820,246,Frederik Duim,"De Siciliaansche vespers, of, gestrenge wraakoeffeninge, wegens ’t onthalzen van Konradyn, koning der beide Sicilien, en Fredrik, aarts-hertog van Oostenryk.",1743,Treurspel,,Izaak Duim,Amsterdam
Ceneton023850,241,Frederik Duim,De vlugt van Huig de Groot; uit het slot te Loevestein.,1742,Blijspel,,Izaak Duim,Amsterdam
Ceneton023900,909,G. Andr. Duircants (Duyrkants),"Klvcht, van licht-hartighe Ioosje.",1632,Kluchtspel,,Cornelis Willemsz Blaeu-laken,Amsterdam
Ceneton023990,247,Joan Dullaart,"Alexander de Medicis, of ’t bedrooge betrouwen.",1653,Treurspel,Diego Ximénez de Enciso,"Tymon Houthaeck, voor Gerrit van Goedesberg",Amsterdam
Ceneton024130,249,Joan Dullaart,"Karel Stuart, of rampzalige majesteyt.",1652,Treurspel,,Gerrit van Goedesberg,Amsterdam
Ceneton024220,248,Joan Dullaart,"Mitridates, koningk van Pontus.",1679,Treurspel,Jean Baptiste Racine,Hero Nauta,Leeuwarden
Ceneton024420,251,Jacob Duym,"Een bewys dat beter is eenen goeden crijgh, dan eenen gheveynsden Peys. Midsgaders t’gene ghebeurt is inden jaere 1600.",1606,Blijspel,,Henrick Lodowijckszoon van Haestens,Leiden
Ceneton024570,254,E.D.S.M.,"Spaensche comedie, de mislukte liefde, en trouw van Rugero prins van Navarren.",1674,Blijspel,Félix Lope de Vega y Carpio,Gedrukt voor S.V.B.,Amsterdam
Ceneton024720,255,Govert van der Eembd,Sophonisba.,1621,Treurspel,,Aert Meuris,’s-Gravenhage
Ceneton024810,257,Willem den Elger,Wagt me voor dat laantje.,1698,Kluchtspel,Jean François Regnard,Pieter van der Veer,Rotterdam
Ceneton024840,258,Willem den Elger,Wagt me voor dat laantje.,1735,Kluchtspel,Jean François Regnard,Izaak Duim,Amsterdam
Ceneton025030,259,Michiel Elias,De bekeerde dronkaard.,1691,Kluchtspel,,Erven Jacob Lescailje,Amsterdam
Ceneton025100,775,Willem Elias alias Vrancx,Een esbatement van Tielebuys die een jaer te vroech gheboren is ende wert herdraghen p. Willem Elias.,1548,Esbattement,,Ms,
Ceneton025170,231,Jan van Elsland,"Dronke Jaap de boer, op het concert.",1720,Kluchtspel,,Wed. van Hermanus van Hulkenroy,Haarlem
Ceneton025180,232,Jan van Elsland,"Dronke Jaap de boer, op het concert.",1725,Kluchtspel,,Z.n.,Haarlem
Ceneton025190,233,Jan van Elsland,"Dronke Jaap de boer, op het concert.",1730,,,Jan Winkel,Amsterdam
Ceneton025200,234,Jan van Elsland,"Dronke Jaap de boer, op het concert.",1731,Kluchtspel,,Jan Winkel,Amsterdam
Ceneton025350,261,Hendrik van Elvervelt,Cicero en Catilina.,1775,Treurspel,Prosper Jolyot de Crébillon,Harmanus Selleger,Amsterdam
Ceneton025360,910,Hendrik van Elvervelt,De dankbaare zoon.,1777,Zedig blijspel,Johann Jakob Engel,Harmanus Selleger,Amsterdam
Ceneton025620,263,Hendrik van Elvervelt,"Jan Rokes, of de gewaande Drie Koningen.",1768,Kluchtige opera,,Gedrukt voor de liefhebbers,Amsterdam
Ceneton025710,228,Hendrik van Elvervelt,De vader des huisgezins.,1773,Toneelspel,Denis Diderot,Stephanus Knuem,Amsterdam
Ceneton025780,264,Abraham Elzevier of Abraham Nagtegael Klemens,"De arglistige juffer bedroogen, of gevlugte tooneelspeelster agterhaalt.",1724,Kluchtspel,,Voor de auteur,Zonder plaats
Ceneton025820,265,Pieter Elzevier,De broekdragende vrouw.,1666,Kluchtspel,,Jacob Lescailje,Amsterdam
Ceneton025840,266,Pieter Elzevier,Klucht van de gestoorde vreught.,1664,Kluchtspel,,Abraham van Lanckom,Amsterdam
Ceneton025850,267,Pieter Elzevier,"Klucht van Scheele Griet, of gestrafte wellust.",1662,Kluchtspel,,Jacob Lescailje,Amsterdam
Ceneton025860,268,Pieter Elzevier,De springende dokter.,1666,Kluchtspel,Edmé Boursault,Jacob Lescailje,Amsterdam
Ceneton025870,269,Pieter Elzevier,De springende dokter.,1681,Kluchtspel,Edmé Boursault,Wed. van Michiel en Gysbert de Groot,Amsterdam
Ceneton025890,804,Nicolaas van Vlooswyk,"Philedonius. Tooneelspel vertoont en opgedragen aan de E.E. Heeren burgermeesters en regeerders van Amsterdam, in den doorluchtigen schouwburgh dezer stede, door jonge Latynisten, onder het beleit van Franciscus van den Enden, medicinae dr.",1656,,,Tymon Houthaeck,Amsterdam
Ceneton025900,270,Franciscus van den Enden,Philedonius.,1657,Toneelspel,,Cornelis de Bruyn,Amsterdam
Ceneton025940,271,Roeland van Engelen,"De coninck van Napels, ofte in wanhoop, hoop speelwys verthoont op de Camer van de Gulde van S. Lucas, die men noemt de Violiere binnen Antwerpen.",1703,Toneelspel,,Wed. Henri Thieullier,Antwerpen
Ceneton026080,272,Desiderius Erasmus Roterodamus,Iphigenia in Aulide,1506,Treurspel,Euripides,Jodocus Badius,Parijs
Ceneton026081,272,Desiderius Erasmus Roterodamus,Iphigenia in Aulide,1507,Treurspel,Euripides,Aldus Manutius,Venetië
Ceneton026550,308,"Franciscus Eutrachelus (François Goethals, Eucolus, Panagathus)",Soter gloriosus.,1563,Blijspel,,Gerardus Salensonius,Gent
Ceneton026560,308,"Franciscus Eutrachelus (François Goethals, Eucolus, Panagathus)",Soter gloriosus.,1563,Blijspel,,Joannes Bogardus,Leuven
Ceneton027960,277,Melchior Fockens (Fokkens),Klucht van dronkken Hansje.,1657,Kluchtspel,,Dirck Cornelisz Houthaeck,Amsterdam
Ceneton027990,278,Melchior Fockens (Fokkens),Klucht van den Italiaanschen schoorsteenveger.,1662,Kluchtspel,,Jacob Lescailje,Amsterdam
Ceneton028000,276,Melchior Fockens (Fokkens),Klucht van de verliefde grysert.,1659,Kluchtspel,,Jacob Lescailje,Amsterdam
Ceneton028010,280,Willem Godschalk van Focquenbroch,"Klught van Hans Keyenvresser, zijnde een Hooghduytschen quacksalver, dewelcke een wonderlyke olij getrocken heeft uyt den aller-keyen-key van Amersfoort, om alle keyen te genesen.",1665,Kluchtspel,,Jacob Vinckel,Amsterdam
Ceneton028090,282,Willem Godschalk van Focquenbroch,Klucht van de kwakzalver. Uit vermaak gespeeld op de bruiloft van een paar eerlyke lui.,1709,Kluchtspel,,Wed. Gysbert de Groot,Amsterdam
Ceneton028120,281,Willem Godschalk van Focquenbroch,Min in ’t lazarus-huys.,1674,Blijspel,Félix Lope de Vega y Carpio,Jacob Vinckel,Amsterdam
Ceneton028220,282,Willem Godschalk van Focquenbroch,Min in ’t lazarus-huys.,1723,Blijspel,,"Erfg. van de wed. Gysbert de Groot, en Anthonie van Dam",Amsterdam
Ceneton028410,282,Willem Godschalk van Focquenbroch,Timon van Lucianus.,1723,,Lucianus,"Erfg. van de wed. Gysbert de Groot, en Anthonie van Dam",Amsterdam
Ceneton028430,279,Willem Godschalk van Focquenbroch,De verwarde jalousy.,1663,Blijspel,Jean Baptiste Poquelin Molière,Jacob Lescailje,Amsterdam
Ceneton028530,282,Willem Godschalk van Focquenbroch,De verwarde jalouzy.,1723,Blijspel,Jean Baptiste Poquelin Molière,"Erfg. van de wed. Gysbert de Groot, en Anthonie van Dam",Amsterdam
Ceneton028670,282,Willem Godschalk van Focquenbroch,"Klucht van de Weyery. Vertoond op de Bruiloft van A. Valckenier, en J. v. Schoonevelt.",1709,Kluchtspel,,Wed. Gysbert de Groot,Amsterdam
Ceneton028890,285,Bernard (Barend) Fonteyn,Fortunatus beurs en vvensch-hoedt.,1643,Blij-droef-eindend-spel,,"Nicolaes van Ravesteyn, voor Dirck Cornelisz Houthaeck",Amsterdam
Ceneton028900,286,Bernard (Barend) Fonteyn,"Fortunatus soonen, op en onder-gangh. Tweede deel.",1643,Blij-droef-eindend-spel,,"Nicolaes van Ravesteyn, voor Dirck Cornelisz Houthaeck",Amsterdam
Ceneton028910,287,Bernard (Barend) Fonteyn,Mr. Sullemans soete vriagi.,1633,Boertige klucht,Francis Kirkman,Dirck Cornelisz Houthaeck,Amsterdam
Ceneton028930,288,Bernard (Barend) Fonteyn,Monsieur Sullemans soete vryagi.,1643,Boertige klucht,Francis Kirkman,"Paulus Matthijsz, voor Dirck Cornelisz Houthaeck",Amsterdam
Ceneton029000,284,Nicolaes Fonteyn,"Casta, ofte spieghel der kuysheyd.",1637,,,Joost Broersz,Amsterdam
Ceneton029060,289,Jan Baptist van Fornenbergh,Duifje en Snaphaan.,1680,Kluchtspel,,Erven Jacob Lescailje,Amsterdam
Ceneton029490,911,J. Franssoon,Giertjen Wouters.,1623,Kluchtspel,,Jan Banningh,Amsterdam
Ceneton029550,291,Albert Frese en Christiaan Schaaf (Ars Superat Fortunam),Het belachgelyk concert.,1769,Kluchtspel,Jean Palaprat,Johan Sigismund Dornseiffen,’s-Gravenhage
Ceneton029610,292,Albert Frese en Christiaan Schaaf (Ars Superat Fortunam),De inënting.,1768,Kluchtspel,,H.C. Gutteling,’s-Gravenhage
Ceneton029730,858,Harmodius Friso (= Pieter Vreede),Het gestoorde naaypartydje van Willem de V.,1786,Kluchtspel,,"Orell, Gesner in comp.",Zurich
Ceneton029770,294,Leon de Fuyter,Don Jan de Tessandier.,1654,Treurspel,,Jacob Vinckel,Amsterdam
Ceneton029800,293,Leon de Fuyter,Lope de Vega Carpioos verwerde-hof.,1647,Blijspel,Antonio Mira de Amescua,"Pieter Dircksz Boeteman, voor Johannes Jacot",Amsterdam
Ceneton029880,18,v. G.,Kluchtighe comedie van Ardelia en Flavioos vryagie.,1629,Kluchtspel,Giulio Cesare Croce,Willem Jansz Wyngaert,Amsterdam
Ceneton029930,295,G.K. (G.K.K. of Al eenderley),"Bruylofts-spel, van drie personagien, ter eeren des eersamen ionghmans, Nicolaes Abeel, ende de eerbare ionghe dochter, Claesgen Claes, ghespeelt den vyfden Ianuary, 1622.",1622,Bruiloftsspel,,Vincent (I) Casteleyn,Haarlem
Ceneton029970,297,Hendrik van de Gaete,De brassende dienstmeiden.,1707,Kluchtspel,,Jacobus (I) Verheyde,Amsterdam
Ceneton030020,912,Hendrik van de Gaete,"De ontmantelde apotheker, met de gefopte hoorndrager.",1714,Blijspel,,Erven Lucas Kloppenburg,Gouda
Ceneton030160,211,Wybrandus de Geest,De manzieke vryster.,1700,Kluchtspel,,Erven Jacob Lescailje,Amsterdam
Ceneton030250,526,Pieter van Gelein (NVA),Cinna. Uit het Fransch van de Heer Corneille.,1683,Treurspel,Pierre Corneille,Albert Magnus,Amsterdam
Ceneton030260,527,Pieter van Gelein (NVA),Cinna. Uit het Fransch van de Heer Corneille.,1683,Treurspel,Pierre Corneille,Albert Magnus,Amsterdam
Ceneton030270,528,Pieter van Gelein (NVA),"Cinna, óf goedertierenheid van Augustus.",1716,Treurspel,Pierre Corneille,Erven Jacob Lescailje,Amsterdam
Ceneton030350,302,Adam Karels van Germez (Zjermes),"Klaagende Kleazjenor, en doolende Doristee.",1647,,Jean Rotrou,Jacob Lescailje,Amsterdam
Ceneton030380,301,Adam Karels van Germez (Zjermes),Vervolgde Laura.,1645,Blij-eindend treurspel,"Jean Rotrou, naar Félix Lope de Vega y Carpio","Jacob Lescailje, voor J. Jacot",Amsterdam
Ceneton030450,303,Johannes Theodorus van Gesperden,"Wanckelbaer Fortuyn, ofte treur-bly-eyndich-spel van Croesus.",1636,Blij-eindend treurspel,Joh. Paul Crusius,Amelis Janssz van Paddenburgh,Utrecht
Ceneton030820,307,"Guilielmus Gnapheus (Fullonius) (Willem Claesz. de Volder, Willem van Haeghen)","Hypocrisis: de hypocrisis falsa religione, ficta disciplina",1544,,,Bartholomeus Vüsthemer,Bazel
Ceneton031090,309,Jan Goeree,"Alcander, koning van Cyprus en Cilicië; of de gewaande zeeroover.",1707,Treurspel,Paul Scarron,Erven Jacob Lescailje,Amsterdam
Ceneton031100,309,Jan Goeree,"Alcander, koning van Cyprus en Cilicië; of de gewaande zeeroover.",1741,Treurspel,Paul Scarron,Izaak Duim,Amsterdam
Ceneton031130,17,Joannes Antonides van der Goes,"Trazil, of overrompelt Sina.",1685,Treurspel,,"Jan Rieuwertsz, Pieter Arentsz en Albert Magnus",Amsterdam
Ceneton031340,310,Cornelis van der Gon,Het scheeps leven.,1720,Blijspel,,Bartholomeus van der Speck,Rotterdam
Ceneton031460,212,Lodewijk de Graaf,De vermomde Krispyn.,1740,Kluchtspel,Alain René Lesage,Izaak Duim,Amsterdam
Ceneton031470,311,Hendrik de Graef,"Agrippa, koning van Alba, of de valsche Tiberinus.",1669,Treurspel,Philippe Quinault,Jacob Lescailje,Amsterdam
Ceneton031520,312,Hendrik de Graef,"Joanna, koningin van Napels, of den trotzen dwinger.",1664,Blij-eindend treurspel,Félix Lope de Vega y Carpio,Jacob Lescailje,Amsterdam
Ceneton031760,314,Matthijs Gramsbergen,Kluchtighe tragoedie of den hartoog van Pierlepon.,1650,Kluchtige tragedie,,"Tymon Houthaeck, voor Dirck Cornelisz Houthaeck",Amsterdam
Ceneton031761,315,Matthijs Gramsbergen,Kluchtighe tragoedie of den hartoog van Pierlepon.,1650,Kluchtige tragedie,,"Tymon Houthaeck, voor Dirck Cornelisz Houthaeck",Amsterdam
Ceneton031781,619,Anoniem (naar Matthys Gramsbergen),"Piramus en Thisbe, of de bedrooge hartog van Pierlepon.",1700,Boertige tragedie,,Erven Jacob Lescailje,Amsterdam
Ceneton031800,313,Matthijs Gramsbergen,"Klucht van de levendighe doodt, of bedroogen kassier.",1649,Kluchtspel,,Dirck Cornelisz Houthaeck,Amsterdam
Ceneton031840,213,Pieter Francies de Grave,"Den rampzaligen ondergang van Annaxartus, koning van Persien, veroorzaekt door het weygeren van zyne dochter Rozamonda, ten houwelyke te geven aen Apolidon, koning van Cypres, welken hy toezegt aen Terquillus, prins van Arabien, die in eenen slag verslagen word; als mede de bekeeringe der genoemde Rozamonda, om te trouwen met Argamondus, christen koning van Syrien.",1790,Blij-eindend treurspel,,Petrus Antonius Kimpe,Gent
Ceneton031960,318,Claude de Grieck,Cenobia; met de doodt van kaizer Aureliaen.,1667,Treurspel,Anoniem / Pedro  Calderón de la Barca,Jacob Lescailje,Amsterdam
Ceneton031970,319,Claude de Grieck,Don Japhet van Armenien.,1657,Blijspel,Paul Scarron,Dirck Cornelisz Houthaeck,Amsterdam
Ceneton031980,913,Claude de Grieck,Den Grooten Bellizarius.,1658,Treurspel,Jean Rotrou / Antonio Mira de Amescua,Gijsbert Sijbes,Leeuwarden
Ceneton032010,317,Claude de Grieck,Den grooten Bellizarius.,1724,Treurspel,Jean Rotrou / Antonio Mira de Amescua,Erven Jacob Lescailje en Dirk Rank,Amsterdam
Ceneton032070,321,Claude de Grieck,"Ulysses in ’t eylandt van Circe, oft, geen grooter toovery als liefde.",1668,Hofspel,Pedro Calderón de la Barca,Jan (II) Mommaert,Brussel
Ceneton032120,320,Joan de Grieck,Het belacchelyck kluchtspel van Lemmen met syn neus.,1700,Kluchtspel,C.v. B.,Joan de Grieck,Brussel
Ceneton032400,325,Hugo de Groot,Adamus exul.,1601,Treurspel,,Aelbrecht Hendricksz,’s-Gravenhage
Ceneton032430,326,Hugo de Groot,Christus patiens.,1608,,,Thomas Basson,Leiden
Ceneton032530,2,Hugo de Groot,Christus patiens.,1670,,,Joh. van Ravesteyn,Amsterdam
Ceneton032590,327,Hugo de Groot,Phoenissae.,1630,Treurspel,Euripides,Jacobus Ruart,Parijs
Ceneton032650,328,Hugo de Groot,Sophompaneas.,1635,Treurspel,,Willem Jansz Blaeu,Amsterdam
Ceneton032710,2,Hugo de Groot,Sophompaneas.,1670,Treurspel,,Joh. van Ravesteyn,Amsterdam
Ceneton032760,214,Isaac de Groot,De bedrooge speck-dieven.,1653,Kluchtspel,,Claes Ebbinck,Amsterdam
Ceneton032780,322,Jacobus de Groot,"Dronke Beely, anders het bedorven huishouden.",1779,Kluchtspel,,Isaac van Campen,Nijmegen
Ceneton033050,329,Jan van Gysen,De betoverde geldkist.,1712,Kluchtspel,,Erven Jacob Lescailje,Amsterdam
Ceneton033350,330,Jan van Gysen,De varke markt.,1712,Kluchtspel,,Jacobus (I) van Egmont,Amsterdam
Ceneton033370,331,Jan van Gysen,De varke markt.,1713,Kluchtspel,,Jacob Brouwer,Amsterdam
Ceneton033470,332,H.D.G.,De gekuypte vryster.,1663,Kluchtspel,,"Fictief: “Uyt de druckerye van altijdt wat nieuws, [...]”",Overveen
Ceneton034110,333,Pieter Willem van Haps,Het huwelyk door list.,1694,Blijspel,,Erven Jacob Lescailje,Amsterdam
Ceneton034120,334,Pieter Willem van Haps,De mansmoêr.,1699,Kluchtspel,,Erven Jacob Lescailje,Amsterdam
Ceneton034150,335,Pieter Willem van Haps,Sophonisba.,1698,Treurspel,,Erven Jacob Lescailje,Amsterdam
Ceneton034200,336,Pieter Willem van Haps,Verliefde Brechje.,1705,Kluchtspel,,Erven Jacob Lescailje,Amsterdam
Ceneton034270,337,Onno Zwier van Haren,"Agon, sulthan van Bantam.",1769,Treurspel,,Abraham Ferwerda,Leeuwarden
Ceneton034370,857,Harmodius Friso (= Pieter Vreede),"De bloed-raad, of de gevloekte zaamensweering op ’t Loo.",1786,,,"Orell, Gesner in comp.",Zurich
Ceneton034390,338,Elizabet Hartloop,Tobias.,1688,Toneelspel,,David (I) Ruarus,Amsterdam
Ceneton034420,339,Anthony Hartsen,Mahomet.,1770,Treurspel,Voltaire (ps. van François-Marie Arouet),Izaak Duim,Amsterdam
Ceneton034450,340,Anthony Hartsen,"De moeder, vertrouwde van haare dochter.",1762,Blijspel,Pierre Carlet de Chamblain de Marivaux,Izaak Duim,Amsterdam
Ceneton034460,341,Anthony Hartsen,"De moeder, vertrouwde van haare dochter.",1783,Blijspel,Pierre Carlet de Chamblain de Marivaux,"Jan Helders, en Abraham Mars",Amsterdam
Ceneton034500,342,Anthony Hartsen,De wedergevonden zoon.,1759,Blijspel,Voltaire (ps. van François-Marie Arouet),Izaak Duim,Amsterdam
Ceneton034510,343,Anthony Hartsen,De wedergevonden zoon.,1761,Blijspel,Voltaire (ps. van François-Marie Arouet),Izaak Duim,Amsterdam
Ceneton035090,344,Johan van Heemskerk,De Verduytste Cid.,1641,Treurspel,Pierre Corneille,Barent Adriaensz. Berentsma,Hoorn
Ceneton035100,345,Johan van Heemskerk,De Verduytste Cid.,1641,Treurspel,Pierre Corneille,Nicolaes van Ravesteyn,Amsterdam
